feature,importance
reading_ease,0.06375286441159535
question_count,0.05464977510106474
sales_marketing_mentions,0.05037986405221169
sentiment_negative,0.045369566646758896
questions_per_sentence,0.04155604548470056
word_count,0.04069592499888551
large_scale_mentions,0.0382613626671179
excitement_count,0.034882007618472995
sentiment_positive,0.0348525637444511
sentence_count,0.03120216975267678
avg_word_length,0.03118895615855848
sentiment_neutral,0.027744865193656636
low_urgency_mentions,0.02121146873590083
saas_software_mentions,0.021156467997474712
education_present,0.019819614417897178
customer_support_mentions,0.018596425283245854
technical_discussion,0.01836384151281895
medium_complexity_mentions,0.017670355250683844
high_urgency_mentions,0.01735083134765831
large_scale_present,0.015997142748158583
customer_support_present,0.015045203965131503
local_market_mentions,0.014694523060613215
high_complexity_mentions,0.014622500771789627
small_scale_mentions,0.014211836489628425
decision_language,0.01253272951675202
real_estate_mentions,0.01212584905360909
us_market_mentions,0.011649096132308861
appointment_booking_mentions,0.011631366109875063
low_complexity_mentions,0.011419399116731777
voice_ai_automation_mentions,0.011303977705374585
customer_communication_present,0.011152813073920029
education_mentions,0.011142625048465627
ecommerce_present,0.010748578084785678
medium_urgency_mentions,0.010632287828104874
healthcare_present,0.010305852354735945
global_market_mentions,0.0097939513692219
data_collection_present,0.00913509613544982
sentiment_compound,0.008765417870655193
medium_scale_present,0.008378105520200315
customer_communication_mentions,0.007932920435774485
ai_ml_mentions,0.007827576931513097
us_market_focus,0.007646842668949967
low_urgency_present,0.007499936905981494
appointment_booking_present,0.007459567903793109
customer_success_mentions,0.007370933065871522
local_market_focus,0.007016238452426119
finance_mentions,0.006664189078788909
high_urgency_present,0.0066338378199087104
medium_scale_mentions,0.006429004157681009
small_scale_present,0.006102192991487013
data_collection_mentions,0.0060815442778818845
healthcare_mentions,0.006020762373778345
medium_urgency_present,0.005968670824929458
global_market_focus,0.00498649563549289
real_estate_present,0.004853356446872702
ecommerce_mentions,0.004607160083754865
high_complexity_present,0.0035817817506572556
finance_present,0.003046725040760323
low_complexity_present,0.0028374663870834906
customer_success_present,0.002739672598643968
sales_process_mentions,0.0026393976608715215
sales_marketing_present,0.002561793804711007
medium_complexity_present,0.0023297887085134373
saas_software_present,0.0023059873502175045
voice_ai_automation_present,0.0022930686835135536
lead_qualification_mentions,0.0005697656287997401
sales_process_present,0.0
lead_qualification_present,0.0
ai_ml_present,0.0
voice_ai_fit_score,0.0
